"","Household race","race_prop","race_prop_se","median_income","median_income_se","pov_level","pov_level_se","Owner","Renter","Owner_se","Renter_se","Other renter","Public housing","Voucher recipient","Other renter_se","Public housing_se","Voucher recipient_se","No rent control","Rent control","No rent control_se","Rent control_se","Not missed rent","Missed rent","Not missed rent_se","Missed rent_se","East North Central","East South Central","Middle Atlantic","Mountain","New England","Pacific","South Atlantic","West North Central","West South Central","East North Central_se","East South Central_se","Middle Atlantic_se","Mountain_se","New England_se","Pacific_se","South Atlantic_se","West North Central_se","West South Central_se"
"1","AIAN",0.00735628156941215,0.000407237249755938,30066.6012470434,1785.74709923629,161.362119288946,13.8046854702053,0.421873565156035,0.557899740441815,0.0277556529972414,0.0278227292556704,0.514776020821294,0.0427822140966773,0.0205681999259936,0.0278051631686139,0.0101980091420462,0.00634657196544458,0.0508014840558741,0.015660889160385,0.011159873039178,0.00493824115750601,0.472694608769048,0.0589748406001628,0.0276315130478758,0.0132343815434832,0.0929177884872029,0.0109540169186252,0.0405617230132144,0.223742141782942,0.0317224809441471,0.220330068413632,0.1035620868004,0.185072504318256,0.0911371893215787,0.0157710937106135,0.00610352281311578,0.0104352041964773,0.0243161446556653,0.0118149725196337,0.0226190514429703,0.0162985747348575,0.0213079705074359,0.0147655524210871
"2","Asian",0.0379313663342335,0.000821292334464982,74581.4982551205,2295.96055616094,385,9.4389489531061,0.581621468178831,0.409270584368769,0.0108521417049573,0.010818870748576,0.393103415115929,0.0175983175695391,0.00767679913570053,0.0107997171566004,0.00238674236617015,0.00114388232566152,0.118151498024197,0.0130007742516283,0.00741360912285978,0.00216151632716251,0.38326042271334,0.0112452581219954,0.0106958213309176,0.00245254394919224,0.0940318632756385,0.0175123221708562,0.162486228892105,0.0376011884377949,0.0408820119116695,0.394517695478678,0.132032017792982,0.0319189700527445,0.0890177019875313,0.00653124142698894,0.00343043131406868,0.00918764768842408,0.00440930997359167,0.00409423364203468,0.0105296423396823,0.00706446333757878,0.00478248759295097,0.00538427201063656
"3","Black",0.112556355908471,0.00150991308396292,35000,592.662665585077,207,3.82660092693491,0.426307869515244,0.554047665846277,0.00710273828104716,0.00712894616520498,0.442572853914715,0.0644985069644032,0.0666207696056374,0.00711673932345803,0.00305645092198257,0.00281802817481851,0.0545512391607183,0.0107793306200693,0.00330992456186352,0.0014608369582802,0.479907058936898,0.0526486139825689,0.00711389434576896,0.00305928472685494,0.143276637703852,0.100573799914986,0.145271832053636,0.0191028858163334,0.0245584827694746,0.0617867883715849,0.332791517913187,0.0328746341864957,0.13976342127045,0.00492229126756354,0.00465053658087507,0.00548864035966735,0.00181908383975404,0.00210138769455409,0.00297203505493356,0.00662959190421567,0.00310810355544359,0.00454541150202428
"4","NHPI",0.0022596873537168,0.000218413057431025,48000,5524.16405406397,238.621902330419,14.8399294986931,0.3387501764322,0.651202302913218,0.0457410644815503,0.046087156243774,0.581794567502893,0.0369647973792173,0.0424904586856894,0.0476079134910257,0.0157577834254596,0.0203660349568681,0.0811460630188063,0.00167817823972162,0.0281986756328406,0.00168322281248677,0.564575286866681,0.0717541681097262,0.047919915128336,0.0251026376881487,0.0432282573130284,0.0322531336697992,0.09738959794426,0.0879092404031914,NA,0.559820262646228,0.0755867584155051,0.0446665742608518,0.059146175347136,0.0216028751027365,0.0183550926857504,0.0307122545110131,0.028389360613264,NA,0.0482644929874582,0.0249923240051,0.0222317028265045,0.0177530785913941
"5","White",0.66731449976391,0.00219428888295903,58000,470.274558278112,336,2.04085382769862,0.688415507299122,0.295505637217763,0.00269303157955567,0.0026447896621301,0.289847079043963,0.0118729177510304,0.00986449590588446,0.002655060591403,0.000526899186862367,0.000453555169218928,0.0374205597271705,0.0059223555263127,0.00111171449026355,0.000380108746660993,0.268308583125389,0.0169847694301432,0.00256562364325043,0.000744470572096902,0.160393770819926,0.0593132886527903,0.130770172890918,0.0825650329356772,0.0534419171298577,0.14370331174239,0.178682821682552,0.0765823073521858,0.114547376793703,0.00220673313329075,0.00148727362130446,0.00211016210597237,0.0016396183405296,0.0012899543780538,0.00190735399133333,0.00218002770039935,0.00164429081535546,0.00177747788270242
"6","HH AIAN",0.0107953897873656,0.000498585113374497,36832.5466621022,2264.00158484728,193.884687747489,10.7144825954177,0.471174148120245,0.506768950868159,0.02325722389355,0.0232372659750736,0.477611511890199,0.0343441757891373,0.0168701642004191,0.0231733793569418,0.00761733167367493,0.00448587519249134,0.0409671440946728,0.0106717693904836,0.00842629107286904,0.00336610458873985,0.425987108248329,0.0548635810092409,0.0227602259905219,0.010662378746787,0.108198909532607,0.0236959619529813,0.0417767113332979,0.184428603736584,0.0342028021725311,0.2175514962552,0.128341317381557,0.167724231158106,0.0940799664771346,0.0144770403841005,0.00727340971175324,0.00915588898713397,0.0189564212603698,0.010029645953386,0.0184457427649853,0.0153372850119568,0.0173555292954878,0.0125312752689392
"7","HH Asian",0.0428770998943946,0.000879651281183264,78000,1683.70440785136,396,7.98512150253807,0.586188113857726,0.405625417196574,0.010287792684883,0.0102584225815449,0.39096743705264,0.0158433528225717,0.00700109626706264,0.0102408981855708,0.00211975637307722,0.00102366121140598,0.114239786139557,0.0141923502652675,0.00690021473473992,0.00222935968006146,0.377629549717968,0.0126466100923926,0.0101188265609099,0.00247428151970448,0.091718455652443,0.019238996906742,0.159126014802589,0.0400678251515211,0.0407370452849475,0.392673556267872,0.133577030103551,0.0337439006617437,0.0891171751685899,0.00611746236767039,0.00339160857286973,0.00867197406044966,0.00429487331043881,0.00390370445859997,0.00998096806289663,0.00677858274222576,0.0046039731508885,0.00517452943990437
"8","HH Black",0.120460589326912,0.001559494993996,36800,917.607235798398,215,3.82660092693491,0.430802822568129,0.550130253728788,0.00689168856087569,0.00691482975398993,0.44441284393103,0.0611315871882571,0.0636527463125841,0.00690577899643184,0.00287271707358246,0.00266728172235882,0.0552749739426747,0.0106819458936256,0.00324516959341433,0.00140258006655445,0.477125932597218,0.0523811073646616,0.00689806756802241,0.00298155439000861,0.141148493947177,0.0963564491842722,0.147232947672778,0.0216741180981861,0.0242430842600905,0.0650560379940772,0.331367389289537,0.0353630483724256,0.137558431181456,0.00474203324158611,0.00441770477279826,0.00535283302956518,0.00189053306089277,0.00200910775700815,0.00295055498640687,0.00642491358335483,0.00311556335534401,0.00438529723787643
"9","HH NHPI",0.00317094361116669,0.000260771623585388,58441.8456379013,5206.06074881318,260.799403915452,17.1147409372596,0.383880114926295,0.602539939903851,0.0400850233317078,0.0403330226503193,0.556386067323876,0.0274986410959012,0.032235176653928,0.0408612886196994,0.0113331847788463,0.0146776289886064,0.0892173222696192,0.00706370975564344,0.0252312203649907,0.00451109046840962,0.523238658572976,0.0553578937316959,0.0411260376142353,0.0182735115301809,0.0742372119319603,0.0229843249229422,0.0995499789841581,0.0837596416276679,0.00459780625944621,0.535340001316159,0.0763834063836429,0.0497252874375508,0.0534223411364723,0.0228235970599376,0.0131538332476239,0.0261530982412786,0.0229396929432851,0.00325826314039488,0.0410992290863391,0.0201710952347517,0.0200025855344432,0.0145600398499311
"10","HH White",0.693749999203972,0.00213393795987924,59000,510.213456924654,336,2.04085382769862,0.684344205772386,0.299497041353346,0.00265726349707656,0.00261104368084897,0.293594048728846,0.0119005113541893,0.0101612341445786,0.00262064538276237,0.000516324660818773,0.000453230197969302,0.0376389060068873,0.00615449448235672,0.00109627591088673,0.000383647762527901,0.271813259715904,0.0174877255461381,0.00253371519209661,0.000742161859154082,0.159778762955405,0.0587560424007442,0.129731274561182,0.0824259557006988,0.0527853318473972,0.146180946531203,0.179262557667147,0.0769959879816481,0.114083140354574,0.00216562005143397,0.00145218421272199,0.00206650443541561,0.00160767526350956,0.0012579007626928,0.00188852899496974,0.00214501702244862,0.00162346423645094,0.00174289562671352
