"","Household race","n","n_se"
"1","AIAN",1010778.54037126,56029.8521869131
"2","Asian",5211900.97685015,112768.874417406
"3","Black",15465632.7468122,212298.665065008
"4","NHPI",310488.86091887,30018.7394347624
"5","White",91691321.1757119,404289.676957972
"6","(Missing)",23713337.6993079,240725.249674624
"7","HH AIAN",1483323.90883239,68655.948254857
"8","HH Asian",5891461.88025427,120877.429355478
"9","HH Black",16551701.7671534,219830.026764043
"10","HH NHPI",435698.62363911,35846.0446870297
"11","HH White",95323650.2656038,407015.438581492
"12","(Missing)",17717623.5544893,203769.036748457
