"","Household raceeth","n","n_se"
"1","AIAN",1010778.54037126,56029.8521869131
"2","Asian",5211900.97685015,112768.874417406
"3","Black",15465632.7468122,212298.665065008
"4","NHPI",310488.86091887,30018.7394347624
"5","White NH",77365034.6429297,399130.323946482
"6","(Missing)",38039624.2320901,291759.366762544
"7","HH AIAN",1483323.90883239,68655.948254857
"8","HH Asian",5891461.88025427,120877.429355478
"9","HH Black",16551701.7671534,219830.026764043
"10","HH NHPI",435698.62363911,35846.0446870297
"11","HH White NH",80549650.8745801,403204.502074189
"12","(Missing)",32491622.945513,269114.740134973
